story_id,prompt_id,model,RE,CH,EM,SU,EG,CX,score_source
1208,56,Falcon3-7B,5.0,3.5,4.0,4.0,3.5,4.5,Mean of Rater A and Rater B
1209,59,Falcon3-7B,2.5,3.5,2.5,3.0,2.5,4.0,Mean of Rater A and Rater B
1210,62,Falcon3-7B,4.0,4.5,4.5,3.0,4.5,3.5,Mean of Rater A and Rater B
1211,63,Falcon3-7B,4.5,4.5,4.5,2.5,3.5,3.5,Mean of Rater A and Rater B
1212,65,Falcon3-7B,5.0,5.0,3.0,3.5,2.5,5.0,Mean of Rater A and Rater B
1213,67,Falcon3-7B,5.0,5.0,4.5,4.5,4.5,5.0,Mean of Rater A and Rater B
1214,69,Falcon3-7B,4.5,4.5,4.0,3.0,3.5,4.0,Mean of Rater A and Rater B
1215,80,Falcon3-7B,5.0,4.0,3.5,3.5,4.0,4.0,Mean of Rater A and Rater B
1216,81,Falcon3-7B,5.0,5.0,4.5,3.0,3.5,4.0,Mean of Rater A and Rater B
1217,87,Falcon3-7B,4.0,4.5,4.5,4.5,4.0,4.0,Mean of Rater A and Rater B
1218,89,Falcon3-7B,3.5,4.5,2.5,2.5,3.0,2.5,Mean of Rater A and Rater B
1219,91,Falcon3-7B,4.5,5.0,4.0,3.5,4.0,3.0,Mean of Rater A and Rater B
1220,92,Falcon3-7B,5.0,4.0,2.5,3.5,3.0,4.0,Mean of Rater A and Rater B
1221,93,Falcon3-7B,3.5,5.0,2.5,3.5,3.0,5.0,Mean of Rater A and Rater B
1222,94,Falcon3-7B,3.5,4.0,2.5,2.5,3.0,4.0,Mean of Rater A and Rater B
