story_id,rater_id,Relevance,Coherence,Empathy,Surprise,Engagement,Complexity
1174,Rater B,5.0,5.0,5.0,4.0,5.0,4.0
1175,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
1175,Rater B,5.0,5.0,5.0,3.0,5.0,4.0
1176,Rater A,5.0,4.0,3.0,4.0,4.0,4.0
1176,Rater B,4.0,5.0,5.0,3.0,4.0,4.0
1177,Rater A,5.0,5.0,4.0,3.0,3.0,5.0
1177,Rater B,5.0,4.0,4.0,5.0,4.0,4.0
1178,Rater A,5.0,4.0,4.0,3.0,4.0,4.0
1178,Rater B,5.0,5.0,5.0,4.0,5.0,4.0
1179,Rater A,5.0,5.0,5.0,4.0,4.0,4.0
1179,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1180,Rater A,5.0,4.0,3.0,3.0,3.0,4.0
1180,Rater B,5.0,4.0,4.0,4.0,3.0,4.0
1181,Rater A,4.0,4.0,4.0,3.0,3.0,4.0
1181,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1182,Rater A,5.0,5.0,4.0,4.0,4.0,4.0
1182,Rater B,5.0,5.0,5.0,4.0,5.0,4.0
1183,Rater A,4.0,3.0,4.0,4.0,3.0,5.0
1183,Rater B,5.0,4.0,2.0,3.0,4.0,4.0
1184,Rater A,5.0,4.0,3.0,3.0,4.0,4.0
1184,Rater B,5.0,4.0,3.0,3.0,3.0,3.0
1185,Rater A,4.0,5.0,4.0,4.0,5.0,4.0
1185,Rater B,2.0,5.0,5.0,4.0,5.0,4.0
1186,Rater A,5.0,5.0,4.0,4.0,5.0,4.0
1186,Rater B,5.0,5.0,5.0,5.0,5.0,4.0
1187,Rater A,5.0,3.0,3.0,2.0,3.0,3.0
1187,Rater B,5.0,4.0,2.0,3.0,2.0,3.0
1188,Rater A,5.0,4.0,4.0,4.0,5.0,4.0
1188,Rater B,5.0,5.0,3.0,2.0,4.0,4.0
1189,Rater A,4.0,4.0,4.0,3.0,3.0,4.0
1189,Rater B,4.0,5.0,5.0,5.0,4.0,4.0
1190,Rater A,4.0,4.0,4.0,3.0,3.0,3.0
1190,Rater B,5.0,5.0,5.0,4.0,4.0,4.0
1191,Rater A,5.0,4.0,2.0,3.0,3.0,3.0
1191,Rater B,5.0,5.0,2.0,2.0,2.0,4.0
1192,Rater A,5.0,5.0,4.0,3.0,3.0,3.0
1192,Rater B,5.0,5.0,5.0,4.0,4.0,4.0
1193,Rater A,5.0,5.0,3.0,3.0,3.0,5.0
1193,Rater B,5.0,5.0,3.0,4.0,3.0,4.0
1194,Rater A,5.0,4.0,4.0,3.0,3.0,3.0
1194,Rater B,5.0,5.0,5.0,3.0,4.0,3.0
1195,Rater A,5.0,5.0,3.0,4.0,4.0,5.0
1195,Rater B,5.0,5.0,5.0,5.0,4.0,4.0
1196,Rater A,4.0,3.0,3.0,3.0,3.0,3.0
1196,Rater B,5.0,4.0,2.0,3.0,4.0,3.0
1197,Rater A,4.0,4.0,3.0,2.0,3.0,4.0
1197,Rater B,5.0,5.0,5.0,3.0,4.0,4.0
1198,Rater A,4.0,5.0,4.0,4.0,3.0,5.0
1198,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1199,Rater A,5.0,3.0,3.0,2.0,4.0,3.0
1199,Rater B,5.0,5.0,3.0,3.0,5.0,2.0
1200,Rater A,4.0,4.0,4.0,3.0,4.0,5.0
1200,Rater B,5.0,5.0,5.0,5.0,4.0,5.0
1201,Rater A,3.0,4.0,4.0,3.0,3.0,4.0
1201,Rater B,5.0,5.0,2.0,3.0,3.0,4.0
1202,Rater A,4.0,4.0,4.0,3.0,4.0,4.0
1202,Rater B,5.0,5.0,5.0,4.0,5.0,5.0
1203,Rater A,5.0,4.0,3.0,3.0,4.0,5.0
1203,Rater B,5.0,5.0,2.0,3.0,5.0,4.0
1204,Rater A,5.0,5.0,3.0,3.0,4.0,4.0
1204,Rater B,5.0,5.0,2.0,3.0,5.0,5.0
1205,Rater A,2.0,4.0,2.0,2.0,2.0,2.0
1205,Rater B,2.0,5.0,2.0,1.0,2.0,3.0
1206,Rater A,4.0,4.0,3.0,3.0,4.0,4.0
1206,Rater B,5.0,5.0,3.0,3.0,5.0,4.0
1207,Rater A,5.0,5.0,3.0,3.0,4.0,3.0
1207,Rater B,5.0,5.0,3.0,4.0,5.0,4.0
1208,Rater A,5.0,3.0,3.0,4.0,3.0,4.0
1208,Rater B,5.0,4.0,5.0,4.0,4.0,5.0
1209,Rater A,3.0,3.0,3.0,3.0,3.0,4.0
1209,Rater B,2.0,4.0,2.0,3.0,2.0,4.0
1210,Rater A,4.0,4.0,4.0,3.0,4.0,3.0
1210,Rater B,4.0,5.0,5.0,3.0,5.0,4.0
1211,Rater A,4.0,4.0,4.0,2.0,3.0,3.0
1211,Rater B,5.0,5.0,5.0,3.0,4.0,4.0
1212,Rater A,5.0,5.0,4.0,3.0,3.0,5.0
1212,Rater B,5.0,5.0,2.0,4.0,2.0,5.0
1213,Rater A,5.0,5.0,4.0,4.0,4.0,5.0
1213,Rater B,5.0,5.0,5.0,5.0,5.0,5.0
1214,Rater A,4.0,4.0,3.0,3.0,3.0,4.0
1214,Rater B,5.0,5.0,5.0,3.0,4.0,4.0
1215,Rater A,5.0,4.0,3.0,4.0,4.0,4.0
1215,Rater B,5.0,4.0,4.0,3.0,4.0,4.0
1216,Rater A,5.0,5.0,4.0,3.0,4.0,4.0
1216,Rater B,5.0,5.0,5.0,3.0,3.0,4.0
1217,Rater A,4.0,4.0,4.0,5.0,4.0,4.0
1217,Rater B,4.0,5.0,5.0,4.0,4.0,4.0
1218,Rater A,3.0,4.0,2.0,2.0,3.0,3.0
1218,Rater B,4.0,5.0,3.0,3.0,3.0,2.0
1219,Rater A,4.0,5.0,3.0,4.0,4.0,3.0
1219,Rater B,5.0,5.0,5.0,3.0,4.0,3.0
1220,Rater A,5.0,3.0,3.0,4.0,3.0,4.0
1220,Rater B,5.0,5.0,2.0,3.0,3.0,4.0
1221,Rater A,4.0,5.0,3.0,3.0,3.0,5.0
1221,Rater B,3.0,5.0,2.0,4.0,3.0,5.0
1222,Rater A,3.0,4.0,3.0,2.0,3.0,4.0
1222,Rater B,4.0,4.0,2.0,3.0,3.0,4.0
